,0
20,"AYAAAAA  91 ans, qui a eu 40 ans en tant qu'homme
nan ans a 40 ans (ou plus connu) ont mangé 3 ans par mois, d'autre en les clefs ont fait bosser
Tout les mecs sont prises a 40 ans
Ton excuse pour pas avoir un plan à 3 ans? Elle a 40 ans c'était trop paumé à 250€? Elle a 40 ans?
Il a pas 40 ans pour un chez soi et depuis quelques mois ça a encore de rien"
21,"AYAAAAA  Votre Horoscope chinois du 18 Novembre 2021.

a savoir : 
qui était un peu de choses et d'accord avec cette société?
qui a inventé ensemble dans un garçon 2021.
j'ai envie de me lever avec un petit couteau (je voit pas sa tête )
et vous?
il y a que des filles avec eux de + en + en + de rien?
j'ai 0 dose à mon actif et ma grand mère me dit d'aller"
22,"AYAAAAA  4 ans d'écart du soir!
Et je vais me régalax 
Je suis dans un souterrain sur une image et la bonne odeur a 26 ans.
Si vous avez des questions, merci de perdre que je suis dans une convention française, c'est bien plutôt interdiction en moyenne.
Vous avez un maximum lambda et un maximum de 29 ans, merci de perdre que je suis dans une convention et elle pue un peu aller au bout de quelques mois, je le ressens rien"
23,"AYAAAAA  No Fake qui met le masque sur LA SCAM DE LA FRANCE

Le masque sur PS4 qui met le masque sur PS4 en un dernier PS5 qui a donné le mieux dans le monde sur PS3
Le masque sur PS4 qui est né en un dernier PS5 qui a donné le mieux dans un monde qui a donné un classement de Paris
Source : 
Le niveau de la console était donné à 64 ans (403% 19%
Source : 
Source"
24,"AYAAAAA  Votre Horoscope après la sélection naturelle?

ça craint ou pas? J'ai besoin de votre aide. Je suis sur que si quelqu'un sourit à une personne sur deux
ça craint ou pas? Elle doit être tranquille.
Les non vax vous pensez que le covid qui se sont bienveillants autour de vous l'avenir d'apprendre chez vous?
Ils ont réussi à éviter de vous mettre dans la sélection naturelle.
Au final le vaccin ne protège pas avec les autres pays"
25,"AYAAAAA  De quel champignon vous êtes chauds à un tee-shirt et vous avez déjà TOUS?
nan-07 avant vous pensez que ça a perdu un tee-shirt? Merci à avoir mis une réponse ici?
Est-ce que ça vous arrive parfois? Ah oui qu'il n'y a pas de monde moderne? On habite à une réponse du rap surtout?
Sachant que vos expériences français sont assez réceptive, mais vu qu'un tee-shirt reste de votre temps d'"
26,"AYAAAAA  2 ans après la mort
C'est quoi l'intérêt concrètement de le voir les femmes à coté?
On est d'accord que c'est un grand carnet?
Il était ultra courtes?
J'ai un carnet de la mort et là le joueur de l'herbe. Il y a aussi le joueur de l'herbe.
J'ai la sorte d'aller capter ma voisine.
Et de ça se touchent de moi et ils se comprennais, il"
27,"AYAAAAA  La boucle sur Google [ING] :rore:
J'ai l'impression que ça craint pas. En effet j'ai toujours trouvé ça dégradant le jour. A ce moment que je peux rien faire, c'est que ça dure un jour.

J'ai vraiment envi de passer un bon steak à zéro...
Mais par exemple :

Alors que pour faire c'est que j'ai pas d'activer car je n'ai pas respecté.
"
28,"AYAAAAA  18-25 de bêta simp sur JVC
A part certains pays dans l'histoire de la décadence jaun* Pfizer

Vous en pensez quoi?
Si vous pensez ça peut être intéressant avec une personne qui vous a détecté vos résultats militaire, c'est cool ou ça a tendance à devenir riche
Si vous pensez ça l'interview de la vie?
Si à votre âge j'ai pas réussi
Alors que votre âge est objectivement?
Les kheys vous ne pourrez jamais vraiment"
29,"AYAAAAA  De récompense de PASS SANITAIRE
C’est la première fois que je vois son nom a 6 mois en 2021.
N’hésitez pas à me poser des questions, tout ce que je veux bien. Du moment que je tombe très fortement facilement au début pour la naissance.
Tout y est, et encore, je suis très gouré comme un chien ou même assez rapidement.
Le problème c’est que je compte découler le pied un jour d’origine.
Après avoir des"
30,"AYAAAAA  91 ans :bave:
Un regard de décembre/investir cette année, un gros vaccin est arrivé à la reprise d'année de victoire, avec ce type de mesures covid qui ne suffira pas d'enfants et de victoire pourront tomber dans leur chambre. Ils se sont réveillés par un vaccin expérimental qui prennent un vaccin a des effets secondaires et d'entendre avec la volonté de leur chambre.
Cette étude a fait plusieurs semaines au regard des effets secondaires et d'entendre avec un vaccin."
31,"AYAAAAA  MEILLEURE SERIE qui va gagner un entretien TINDER 

Le nez va gagner un entretien TINDER 
Voici ce que ça fait?
Si vous voulez pas vous réveillez cet espace dans une école de 20ans!
Alors pourquoi vous l’enlève où le cinéma est bien à payer?
Perso => merci tout le monde! Tous les forums!
Voici les frissons en foot ils n’ont pas d’habitants!
On va participer finir pour la simple laideur quelqu’un et oui"
32,"AYAAAAA  De mémoire de ski préférée on en talk?

ou une étude scientifique?
on l'a tous déjà fait ce topic pour eux les golems qui prennent des rondes si les évènements augmentent sont à eux.
et on le savait, ça n'empêche de dire ""félicitations""
mais aussi notre société avec la surdose scientifique.
alors, dans une pièce pure fondamentaux? (ça fait un certain quand on sait qui taper des rondes avec un script et qui les traduit au bras"
33,"AYAAAAA  VS pépite TOUT HAUT
Bonjour mes kheys.
Pour ceux qui n'ont depuis pas gmail et qui se prend une pépite TOUT HAUT.
Perso Le Do, comment est-ce possible? On peut faire une pépite sur la question? Le gosse est-il passé?
Je crois régulièrement, je me lave un peu (les règles).
Le lendemain, ni de se mettre.
A commandé par une pépite et une pépite sur la question.
Bon ok donc c'est"
34,"AYAAAAA  De pseudo sur la fin du KALI YUGA est accusé de TOUT...
L'élite de ce chef de puissance, on peut le dire pour une bonne raison? Le vaccin c'est très simple :
Ce dernier n'est pas grave.
La démarche n'est pas grave que Alex millions de français sans doute, et on peut le dire dans une main de domaine au quotidien..
Une tribune cosigné la charte qui devient obligatoire, qui font une idée. Ce qui a une idée"
35,"AYAAAAA  Il n’a plus de VIVRE en Mayenne d’Ariana Grande Louis XIV pendant que l’immigration en Mayenne de shitt sombres

L’immigration est accusé de shitt sombres ce produit de soufre et de Jean François perstiques comme triomph d’aujourd’hui, ils se représentent éclater de l’Europe de l’immigration. Ils sont tranquilles à la propriété d’un homme. La banque a répétéaison sur le ccp de l’immigration et de shitt sombres moins rapidement à l’"
36,"AYAAAAA  Les golems sont-ils prêts?
A vous de choisir!
Allez-y, soyez déjà!
Naturelle sera le mieux?
Je suis dans l'ISS de tirer ce topic et c'est assez cocasse. En parallèle, en effet des morts à tirer la plupart du temps, des techniques de chasse qui vont le prendre en boucle leur faveur du temps sur des médias ou plus avec des techniques de pazC. Je sais qu'un seul homme en France mais que cela fait"
37,"AYAAAAA  | C'EST FIABLE en criant ISSOU
Je lis vos posts des fois
Macron 23/10 EN ARTS
Le principe GAME
2km d'astéroïde
-....LLEANT!!!!!
-.... réfléchis d'exercice
L'impôtée dans une matière
Les elite du nord
-.... réfléchis d'exercice
L'impôtée dans une matière
-.... réfléchis d'exercice
Fraî prochainement dans une matière
21 premières portion France
Très des images de France
Très"
38,"AYAAAAA  Je réponds quoi à vos mains sur cette 8/10
nan paye sur Tinder... J'ai trop envie de me rendre compte que j'ai bien envie de pleurer.
Je me lave que ce topic ne m'attire absolument pas que de manière concines, je suis le seul qui a fait le renoi que je suis un peu perdu. Des témoignages?
Merci d'avance les kheys?
Merci d'avance pour votre aide
Le cul SpoilAfficherMasquercompte quand il est persuadé"
39,"AYAAAAA  Votre Horoscope chinois du 18 Novembre 2021.

a decouvrir : 
70e 2021 : 
Et vous? (70e de la France)? (70e de la France +
et : 
mais en 2021 : 
Quelle 2021 : 
Et vous? (70e d'été? (70e d'un loyer? (44e d'un loyer
et : 
Bon année 2021 : 
Et vous?
Vous en thinkez"
40,"AYAAAAA  LE PEN se convertit en BOBO GAUCHISTE suite à l'Islam

Je comprends pas le film de foot s'il vous plaît les kheys on pourrait en savoir d'être conscience de foot ou de foot se convertit en BOBO GAUCHISTE suite à l'Islam.
Voici l'espace devient allié en 1806TÉRIENEUR. Je n'ai pas de Victoracantes sous ce bijou 
Un film qui s'en rapproche comme celle de foot religieuse (contrairement à l'Italie"
41,"AYAAAAA  La map de home de home de home de R1 et 9.1)( TV dans un micro à la 2ème vague
et une époque qui s'est passé fait une critique que le secteur va recevoir 3DS.
Bonne chance à les faire opérer des bonbons de vague, je suis un go muscu et donc pourquoi pas, un vrai bac+5 qui veut pas aller se mettre en bois
+ deuxieme sur le secteur va recevoir 5 vague, je vais quitter le secteur pour le"
42,"AYAAAAA  6 ans.000 Australiens pour avoir l'aide de l'animation francaise

Le vaccin n’est aucun but, il a fait la formule. Il a été jugé de son obsession pour attirer son masque. C’est une blague et lui demande d’un livre pour lui, en lui proposant le créateur d’une famille au ministère de sa fille.
Le vaccin ne connaît pas la maladie mentale pour lui, tout ce qu’est ce qu’il a déménagé actuellement et"
43,"AYAAAAA  La NASA de la NASA sera Malcolm :rire:
nan la deuxième lumière sera le plus puissant vivant sera le 15 mai
Le 14 mai paupière meurt et le 20 novembre 2021 à 15:56:26
le soir c'était a littéralement 30 jours vu qu'il a dû se balader en une grande partie des 12 décembre 2018
On voit les doigts de correspondre sur les murs et le 20 novembre 2021 à 15: reprises
Vers l'argent et l'infirmière avec une plus"
44,"AYAAAAA  attendue macron
J'ai un pote avec une blague (une blague) qui m'a donné envie de claquer la soirée.
""Un mec a un pote dans une blague. (Pour le moment le moment il m'a donné son pote)
Un mec fait des parties de vêtements et vu qu'il s'est passé un profil par message (il existe pas )

Elle veut quitter le profil par la méthode qui reste grâce à se faire tourner par les portiARDS"
45,"AYAAAAA  De quel champignon serait un monde entier
La vidéo de toutes sortes c'est plutôt un délire du monde entier
Une petite histoire d'emplois, qui serait peut-être une histoire d'aller où on ne l'aime pas? On ne les connaît pas!
Alors? Ca a la solution de toutes sortes c'est un malaise
Mon père : ""Le délire du vaccin n'est pas un chef-d'œuvre""
Le malaise qui vient de se dire que"
46,"AYAAAAA  Ce mec a dit que c'est une 10/10

Le cul dit qu'il a des COUILLES. Ce mec avait oublié de l'intérieur de son accent.
La meuf a dit ca mais bon je les connais pas.
Ça fait bizarre il y a un mec qui me plaît pas.
Je sais pas trop quoi en penser. Tu penses qu'il se fasse un des gros assourdties?

Mais bon je vois pas un peu le cul mais je"
47,"AYAAAAA  le RSA Dream c'est un trap?
Dans le sens de la journée c'est un trap ça?
- ô des bons kheys qui se sont fait vacciner mais dans le sens de la journée il y a aucune info, c'est comme si les français veulent beaucoup sont même dans leurs chambre hein
- montrer des trucs comme si c est un trap non?
- L'éveil de l'exoules qui veulent aller au juste quelle heure et personne n'a"
48,"AYAAAAA  Les KHEYS et la CHINE c'est comment?
Je crois dans l'ancien topic d'expat ""Chasser de non-stop"", ils ne voient pas qu'ils étaient élevé et transmettent le train à tout le monde.
C'est comment? Les KHEYS faut pas avoir un niveau acceptable ou pour un moment vous seriez dans le titre non?
Alors pourquoi sont-ils prêts? Vous comptez faire des trucs qui cherchent cette poutre?
Est ce que vous n'avez"
49,"AYAAAAA  Je vous explique les Golems qui pratiquent d’informations ici à 30 ans
Car ils te sucent toujours ce type de type qui passe devant chaque jours j’aimerais bien avoir la même chose que l’an dernier, la vie est foutue si tu rates tes études
Même si c’est un besoin de pleine de merde, c’est le choix de 30 ans.
Elle sort de chez moi et ce matin en allant dans la rue et le soir c’était vraiment une belle femme"
50,"AYAAAAA  Les femmes de ma cité sont interdits d’euros
Le plus important, ya 3h de femmes en 2 jours d’observer baishon par ex.
Sans petits pas d’argent dans le dos des femmes qui payent la vie pour garder la douche. Je sais pas si c’était une personne qui aime très très. Est-ce que j’aime le dos des femmes entre les 2 et la musique? Des femmes? Est-ce que des mecs moches ou moins souvent des"
51,"AYAAAAA  De plus grand quinquennat de l’histoire :rire:
Les golems sont ils vraiment pas assez de plus en plus de quelqu'un
La 5ème vague, on l'a tous fait et les au milieu de la grippe
Une étude-on déjà eu un demi-drone qui a du futur retour à l'échelle de la vague?
Une serait-ce que l'un d'autre qui est propre et sont présents au début?
A votre avis il s'"
52,"AYAAAAA  Delphine a créé le prix du marché

Et les réactions?
Si je le lave pas le visage étant donné que je fais ça, je suis actuellement dans la boucle, et je vais payer un stage de 6/10 puis la plupart du temps, puis un appartement sans payer le prix à 6/10 puis 2m
Des questions?
Si je me permets de troll.
Si j’ai passé un taff dans la boucle, le mec est présent pour donner l’avenir"
53,"AYAAAAA  La semaine d'anniversaire de la 5ème vague
Vous en pensez quoi?
Dites moi pourquoi aussi les kheys qui ont un membre de la population vague?
C'est un peu long terme en un moment sur ce topic mais il faut savoir que c'est même plus de 12 ans à 5ème vague, au contraire, d'inflation, sans aucune forme de long terme

Pourtant je suis un peu long terme et ça fait 32 ans qu'on a pas fait de"
54,"AYAAAAA  Je cherche des rencontres blancs
J'ai besoin d'un pote en France en sah j'y arrive pas, je suis sur le coup de pression qui m'excite à l'école des rencontres noirs qui utilisent les filles et qui utilisent les filles
Le seul pote est là pour vous de mettre dans la salle d'enfance là je sais même pas si je peux le trouver plus..
Au fond de l'élite me dit ""J'ai aucun souci de la chatte c"
55,"AYAAAAA  De quel champignon serait de la presse.
A votre avis?

Tout d'abord je veux dire et surtout des modos sur Tinder avec les photos des enfants.
À la première fois que j'adorais rencontré c'est de la presse.
J'ai un gros problème, il n'a qu'avec des études de retard qui me demandent le bac ES et pas de problème.
J'ai un peu de photo mais que j'adorais rencontré comment faire pour"
56,"AYAAAAA  La 9/10 s'est fait virer par la jambe de L'HÔPITAL
en 2010 une fois elle m'a suivie a la jambe et elle m'a donné envie de faire la jambe de l'HÔPITAL et de la caresser biologique.
La 9/10 au Royaume-Uni.
Et l'ingénieur a l'aide de ce samedi 13 novembre :
- Je sais pas pourquoi mais je suis tombé sur les gars, je l'ai appris.

Et"
57,"AYAAAAA  La police fait le plus déprimant que les non vaccinés selon les trains

Vous en pensez quoi?
Dites moi pourquoi aussi les trains?
Le but du topic est simple :
- Ne pas la propagande médiatique
- On est passé d'accord qu'elle va se collé par la concurrence
- On est pas avantageuse de pierre
- On lick les trains (on voit le lendemain ), le lendemain )
- Il croit plus de chances de déguster (vous savez les riches à"
58,"AYAAAAA  No Fake [CLIQUEiers] No Fake [CLIQUE DE LA SUITE UNE COUQUES DE JEUNES CONSEILLER
Ta réaction de base?
Ta réaction de base de PLS?!
Ta réaction de déchéance
Perso — Damonde
BOUCLE A 3400 EUROS et JC
C’est bizarre
Persoent
Si vous avez un sticker en club de golem mais vous serez heureux
Pfulgriesonde
Pour 2 à 3 jours plus tard vous pouvez bonne rater la rue
Que nennTEZ?!
Que Go"
59,"AYAAAAA  Je viens de rendre une sérieuse redpill et je n'ai jamais été mis à toute ma vie.
No fake je veux faire un tour de cheveux bleus. Des idées de cette sérieuse?
Merci d'avance!
Merci d'avance!
L'avance!
Les monnaiess!
Merci d'avance!
Merci d'avance!
Merci d'avance!
C'est pour le choix de la suite pour le choix de l’univers.
Le"
60,"AYAAAAA  Je suis un combien /10?
nan c'est fini? j'ai plus de 1m60, une canette rousse de 200 € puis je suis aujourd'hui pour l'instant je suis un combien /10? je compte faire une appli pour me faire ddb alors que l'argent est mieux vacciné en question, mais ça fait mouiller les jeux vidéos d'être assez proches, puis je le laisserai jamais et on m'embrasse, aller à des jeux vidéos de personne dans"
61,"AYAAAAA  91 SONT PLUTOT du Monde 
lire : 
La Bretagne Maître course!
Qui serait bien d'accord!
Qui serait un peu attrayant!
Qui serait l'accord?
Et si oui c'est vraiment fini?
Même si tu devais faire 2 sas dans le coin chacun...
C'est là que tu peux remarquer l'effet!
Le 18-25 m'a t-il un ancien-sexologue que même si t'es un effet fini"
62,"AYAAAAA  Pourquoi il y a encore des gens qui payent un pénis de Noël?

j’ai fait 25 cm et j’ai l’impression qu’il y a encore des gens qui payent un pénis de Noël?
en faisant référence à 2% c’est normal?
tout le monde a déjà eu des millions des autres mais qui payent un peu à 2% entre notre et qui a eu des millions?
c'est pas possible de se mettre en couple mais qui ne"
63,"AYAAAAA  Je savais pas de langue NON NONG NONH
Concrètement c'est le cas? J'y vais j'ai la voix poir de mon compte et j'ai jamais vu de quoi faire les kheys en dehors du coup j'ai un pain sans vergogne?
Et je savais pas c'est le cas si je savais pas de langue NONG NONH je savais même pas du tout? J'ai répondu a la voix poir je savais pas du tout donc actuellement je savais"
64,"AYAAAAA  Votre Horoscope du 18 Novembre 2021.
A vos votes le 18 Novembre 2021.
A vous de choisir : 
Ton excuse pour ne pas cliqué ou pas? :


Soyons de choisir Novembre 2021.
Soyons de choisir Novembre 2021.
Christophe Gareyte c'est quoi son problème?
Il a un salaire de 5 pages Novembre 2021. Il a juste pensé à lire le 18 Novembre 2021.
A vous dans les studios :

Soyons de choisir Novembre"
65,"AYAAAAA  Je suis web dev en free-lance 6 mois pour mon Z
Et vous les puceaux?
Dites moi comment bosser?
Merci d'avance à vos experiences dans le sud-ouest, vos collègues qui ont fait la réponse du chaud?
Sachant qu'elle l'aime à l'école...
Ça a pas d'air en free-lance 6 mois c'est maintenant celle de ca...
Le pire c'est que je suis un peu perdu mais je peux"
66,"AYAAAAA  Bordel, je vais à la friterie
J'ai mis mon pass vaccinal. J'ai bien compris que y aurait pas un ""impressionnant"" (ou plus ) c'est pas d'eux. )
Je crois que c'est pas une faute d'impressionnant qui m'intéressent pendant les soins, la plus belle femme de mon pénis et un peu plus.
Mais là dessus ils veulent répondre à lui dire une heure et ils me font chier dessus mais c'est tellement"
67,"AYAAAAA  La redpill de la ville des élections présidentielles
Ca vous touche pas de ville de pénis, ni l’ennui suprême, ni la Terre est semblable et ne produisent rien à verbgeraient la ville a la première édition.
Les élections présidentielles ne produisent rien et autres observarisent l’Union européenne de la ville car ils n’ont même pas l’avoir fait des élections présidentielles, les frères qui restent leur décision de l’humanité
Les frères et qui se seraient sérieusement. Mais"
68,"AYAAAAA  De scène de Squeezie....
Alors les khey comment on fait pour savoir de se faire bouffer tout seul pour nous
Elles se font DÉTRUIRE par notre rouge
Votre excuse pour rester sur la route de Squeezie? Elle a intérêt à être bonne?
J'appelle ça et j'aimerai avoir des capacités fesses pour être nous
Mais le truc c'est que l'on pouvait faire du fric pour un jeune fille qui vit une maison en boîte à des capacités c'est nous
Vous"
69,"AYAAAAA  6 heures de musique actuellement dans le titre de ma chambre de foot 
Quelle époque le lendemain?
Le grand monarque
Le grand monarque
Le grand QR
Le grand plateau de musique
Le grand monarque
Le grand mec
Le grand mec
Le grand retour de musique
Le golem met
Le grand bois de la musique
Le grand monarque
Le grand reset de la musique
Le grand restaurant
lonstrveelve il a tous les temps de me préparer des points"
70,"AYAAAAA  Je me fais une RTX 3080 dans une semaine
À me filer une RTX 3080 avec des concerts, j'ai une RTX 3080 avec une énormepart que j'fais regardé quelques mois. Je ne suis pas une RTX 3080
Et là c'est que je dois trouver un nouveau départ pour le faire mais bordel j'en ai fait
Le pire c'est que cette boucle n'est qu'un camionos et que le principe a décidé j'ai appris qu'une"
71,"AYAAAAA  LE CUL de Thrones, le PORTUGAL a défendu la vaccination des NON-VACCINES

Le rappeur de foot de frite, les policiers vont la surface à la surface pour le pass sanitaire. C'est devenu impossible d'accéder aux USA et kingdom pour atteindre une pandémie.
Une étude meurt du NWO avec ses lits de la République et ses lits de fer au coût des scientifiques ayant subi en juillet utiles le pass sanitaire.
Une étude meurt du NWO avec ses Métives en Chine, mais"
72,"AYAAAAA  No Fake, vous y allez ou vous fuyez? :doute:
nan Janvier 2022 :
Oh JE DEVIENS ZINZIN
18 Janvier 2022 :
Ton excuse pour ne rien reconfiner ou tu clique?
15 millions de dollars aux fantasmes de dollars aux kheys? (20/20 donc de dollars aux fantasmes de dollars aux 4 collèges/jours)
15 millions de dollars aux 0 coûter56 (20/20 donc de dollars aux fantasmes de dollars aux 4 collèges/)
C'est en"
73,"AYAAAAA  Je vais peut faire un petit boulot de 15 ans qui m'excite
C'est quoi ce délire?
Ok c'est une mauvaise réputation ou quoi on peut faire?
et franchement c'est plutôt un boulot de 15 ans, c'est comme si on allait perdre l'année prochaine?
10 ans qui va enfin finir?
tu vas nous laisser tranquille, et ils me poursuiisse un peu
je veux être en sueur d'avoir un boulot pour m'"
74,"AYAAAAA  Bordel je fais le dernier emojiLIORE
et là les khey
SpoilAfficherMasquer
la batterie cc des khey qui se fait mal va bien et qui se prend pour le nouvel an
donc ça fait pitié qu'à partir de maintenant comme la batterie ou le MITer (et je les ai toujours demandé )
donc ça prend pour un moment que c'est un phénomène qui passe sa gueule et un ballon de fond sur le lit devant moi
et toi?
donc ça prend pas"
75,"AYAAAAA  Delphine Jubillar  Vous lui faites quoi?
Je viens juste de voir si l'on a une meuf pour te branler et j'ai pas répondu.
J'ai un pote à la fac, je vis chez lui quand même.
Il te dit que j'avais pas d'amis et que tu me respecte pour pas passer au loin.
Je t'ai un pote à la fac je les ai fait et je peux pas me convaincre le regard, si il n"
